1st_key,2nd_key,mean,std
b,l,231.44305366418502,207.3821396305291
b,m,310.5657142857143,306.652879500479
b,n,177.68864717878995,313.747894158212
b,o,216.19827659623886,216.2578704139463
b,p,338.85532150776055,608.1869880114364
b,q,247.88095238095238,344.16255393458795
b,r,281.79654643750507,251.6507598495963
b,s,340.4175635389824,332.55168258397794
b,t,340.7577259957032,362.35571601669125
b,u,229.67793726621298,211.96318151941568
b,v,451.92986542443066,494.23678326020604
b,w,277.55046826222684,298.760044814203
b,x,400.2608695652174,331.8184357571176
b,y,216.31181034625374,173.51291768708262
b,z,344.0,290.5979058030922
c, ,237.51500339059675,300.4993190531567
c,a,175.7581827927558,142.94629778983617
c,b,418.2570281124498,964.6398574794152
c,c,196.04869954186356,190.5088915082684
c,d,311.17848970251714,483.0699201104029
c,e,199.05902640481526,181.6393541218312
c,f,370.3407661520869,631.7436690983659
c,g,312.99497847919656,287.8608194503426
c,h,182.8668832952951,208.4200761756176
c,i,221.37266061631544,240.63123022126172
c,j,257.886468952734,210.23846107321768
c,k,192.66690252000217,203.05732803038683
c,l,198.9240854276449,196.7265398793437
c,m,300.47350374064837,290.54800096207026
c,n,248.76568968372246,237.43146548719173
c,o,170.32662630778603,181.84349332240552
c,p,287.10891432535556,387.84926987411154
c,q,274.79761904761904,154.00522442725534
c,r,299.50563204005005,252.33387418269317
c,s,274.2764889431556,279.33482545215213
c,t,273.4399019989977,204.6439120575249
c,u,251.4054487881043,264.8600157037564
c,v,217.69991015274033,260.8121891219739
c,w,293.8613728129206,299.81365893292605
c,x,184.2966804979253,278.8765722804993
c,y,251.85351484754398,221.2540424740132
c,z,253.37313432835822,126.71739444598224
d, ,168.0344489688051,193.4457919862892
d,a,178.86374019560733,192.00547455155407
d,b,393.9236241108199,551.8116836742813
d,c,364.1938471716838,509.74040654699604
d,d,191.69821669890564,173.38163474207002
d,e,207.80317707541914,180.20629494915323
d,f,326.0745578231292,334.8878823307022
d,g,318.6550982500733,294.43949110344874
d,h,336.7800875273523,607.9602017041715
d,i,198.37056522739474,226.20695263252844
d,j,557.7827868852459,2506.3788460052265
d,k,244.56374807987712,304.46412471360685
d,l,231.15292535305986,285.6935471394744
d,m,357.489102005231,418.2050414162423
d,n,341.5188379482524,432.2030288276307
d,o,172.9755952134487,208.59518679192254
d,p,322.0739098300074,390.8042256144992
d,q,423.3697478991597,803.3689431002869
