1st_key,2nd_key,mean,std
r, ,499.15076923076924,642.6066554419068
r,a,236.74380165289256,127.85222778176502
r,e,156.49003984063745,87.06229321812289
r,i,228.18333333333334,146.9154595673546
r,l,293.11764705882354,245.24433914435812
r,r,188.2,58.63616631397383
r,s,446.87610619469024,525.5971626354324
r,t,142.33333333333334,88.82942455440464
r,y,270.46486486486486,187.76928520217274
s, ,328.4941724941725,512.3159191527849
s,a,268.3692307692308,642.5412576546828
s,c,193.83333333333334,69.72636995188167
s,e,206.86764705882354,72.6259902517871
s,h,239.77586206896552,151.46906847731043
s,k,273.67241379310343,235.47677562177822
s,n,225.55172413793105,163.9807618598386
s,o,206.7941176470588,218.04316694509976
s,p,251.70486111111111,217.655162429897
s,t,236.8923076923077,133.01787040151353
s,u,207.66101694915255,172.44269308659327
s,y,246.8403361344538,146.9339805935002
t, ,325.08481262327416,392.9819901360102
t,a,202.89655172413794,154.02593648703387
t,e,209.70945945945945,102.55101623249803
t,g,225.66666666666666,29.24836177748536
t,h,176.5072463768116,123.70552142091596
t,i,511.8333333333333,654.3742095014182
t,l,257.05128205128204,199.10376112044617
t,o,185.34126984126985,120.86429829844134
t,s,316.5126050420168,282.2438830959562
t,t,220.84745762711864,636.1410453063028
t,w,391.1842105263158,255.10287932620767
t,y,223.4493670886076,355.56275176688933
u, ,257.8135593220339,326.6831996237687
u,l,330.88709677419354,286.3848783006916
u,m,329.0353697749196,217.34094377663322
u,n,257.3,124.382311129975
u,p,255.11587982832617,186.6173000726334
u,r,210.54929577464787,127.27380930580834
u,t,237.38064516129032,116.1114446785628
v,e,206.16528925619835,172.71466580786924
w, ,359.2413793103448,358.1279938961756
w,a,216.95049504950495,112.540033457205
w,e,210.609375,194.2368556716013
w,h,225.7127659574468,240.4583022693883
w,i,290.5169491525424,249.7111744604991
w,n,250.94915254237287,308.0621535882124
w,o,205.97272727272727,191.23128122537707
y, ,521.2772861356932,822.3546280193391
y,h,1490.6666666666667,2976.478097797238
y,o,211.0483870967742,168.35193693417088
y,w,576.25,588.5059472936531
